DATE,city,state,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,PRCP
1/1/2016,NEW YORK,NY,40.4,24.3,1017.1,12.2,10,6.5,12,22.9,0.03
1/2/2016,NEW YORK,NY,35.8,17.7,1016.9,12,10,6,12,18.1,0
1/3/2016,NEW YORK,NY,38.4,20,1011.7,6.7,10,6.4,9.9,21,0
1/4/2016,NEW YORK,NY,30.8,12.5,1015.2,10.2,10,7,11.1,22,0
1/5/2016,NEW YORK,NY,18.4,-2.3,1032.7,27.5,10,6.2,12,22,0
1/6/2016,NEW YORK,NY,31.2,2.8,1034.2,29,10,2.4,7,999.9,0
1/7/2016,NEW YORK,NY,37.9,8.7,1027.2,21.9,10,2.9,8,999.9,0
1/8/2016,NEW YORK,NY,40.2,25.5,1022.4,17.4,10,4.3,8.9,999.9,0
1/9/2016,NEW YORK,NY,43.3,35.7,1021.7,16.6,9.3,7.4,11.1,18.1,0
1/10/2016,NEW YORK,NY,50.4,45.9,1004.8,1.5,5.3,8.2,15.9,26,0.77
1/11/2016,NEW YORK,NY,35.2,13.1,1008.8,3.9,10,9.4,13,28,1.03
1/12/2016,NEW YORK,NY,32.2,11.5,1013.5,7.3,10,4.6,9.9,24.1,0
1/13/2016,NEW YORK,NY,27.1,7.8,1011.6,8,10,9.4,18.1,29.9,0
1/14/2016,NEW YORK,NY,27.9,8.6,1014.2,9.2,10,5.1,8.9,17.1,0
1/15/2016,NEW YORK,NY,41.2,27.5,1012,7.1,9.5,3.8,8,15,0
1/16/2016,NEW YORK,NY,46,37.3,999.9,994.6,8.6,5.5,11.1,19,0.21
1/17/2016,NEW YORK,NY,37.3,23.1,1009.2,3.9,8.6,5.8,9.9,15.9,0.03
1/18/2016,NEW YORK,NY,27.1,11.4,1008.4,2.9,8.9,7.5,15.9,28.9,0.05
1/19/2016,NEW YORK,NY,21.1,1.5,1015.7,10.6,10,10.4,17.1,28,0
1/20/2016,NEW YORK,NY,30.7,13.1,1020.5,15.5,10,5.6,11.1,21,0
1/21/2016,NEW YORK,NY,30.9,12.5,1019.7,14.7,10,5,8.9,19,0
