date,holiday_title
2015-01-01,New Year's Day
2015-02-15,Carnival
2015-02-16,Carnival
2015-02-17,Carnival
2015-02-17,Carnival/Shrove Tuesday
2015-02-18,Carnival end
2015-04-03,Good Friday
2015-04-05,Easter Day
2015-04-21,Tiradentes Day
2015-05-01,Labor Day / May Day
2015-06-04,Corpus Christi
2015-09-07,Independence Day
2015-10-12,Our Lady of Aparecida
2015-11-02,All Soul's Day
2015-11-15,Republic Day
2015-12-25,Christmas Day
2015-12-31,New Year's Eve
2016-01-01,New Year's Day
2016-02-08,Carnival
2016-02-09,Carnival/Shrove Tuesday
2016-02-10,Carnival end
2016-03-25,Good Friday
2016-03-27,Easter Day
2016-04-21,Tiradentes Day
2016-05-01,Labor Day / May Day
2016-05-26,Corpus Christi
2016-09-07,Independence Day
2016-10-12,Our Lady of Aparecida
2016-11-02,All Soul's Day
2016-11-15,Republic Day
2016-12-25,Christmas Day
2016-12-31,New Year's Eve
2017-01-01,New Year's Day
2017-02-27,Carnival
2017-02-28,Carnival/Shrove Tuesday
2017-03-01,Carnival end
2017-04-14,Good Friday
2017-04-16,Easter Sunday
2017-04-21,Tiradentes Day
2017-05-01,Labor Day / May Day
2017-06-15,Corpus Christi
2017-09-07,Independence Day
2017-10-12,Our Lady of Aparecida
2017-11-02,All Soul's Day
2017-11-15,Republic Day
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-02-12,Carnival
2018-02-13,Carnival/Shrove Tuesday
2018-02-14,Carnival end
2018-03-30,Good Friday
2018-04-01,Easter Sunday
2018-04-21,Tiradentes Day
2018-05-01,Labor Day / May Day
2018-05-31,Corpus Christi
2018-09-07,Independence Day
2018-10-12,Our Lady of Aparecida
2018-11-02,All Soul's Day
2018-11-15,Republic Day
2018-12-25,Christmas Day
